"","text","favorited","favoriteCount","replyToSN","created","truncated","replyToSID","id","replyToUID","statusSource","screenName","retweetCount","isRetweet","retweeted","longitude","latitude"
"169","Melalui SK-263/MBU/08/2020, tertanggal 4 Agustus 2020, Erick Thohir secara resmi mengangkat Bakir Pasaman sebagai d… https://t.co/6FA9ABQi08",FALSE,1,NA,2020-08-05 12:29:14,TRUE,NA,"1290988230976790529",NA,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>","NCI4NKRI",0,FALSE,FALSE,NA,NA
"170","Ini sk penggabungan Stie Indonesia Raya menjadi Univ Pancasakti https://t.co/8HmqYhBIpI",FALSE,3,NA,2020-08-05 12:05:56,FALSE,NA,"1290982369273319424",NA,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>","FlorentiusFlor1",0,FALSE,FALSE,NA,NA
"171","Menteri @erickthohir merombak jajaran direksi &amp; komisaris PT Pupuk Indonesia melalui SK-263/MBU/08/2020, tertanggal… https://t.co/bvvPuzqqx1",FALSE,1,NA,2020-08-05 12:00:48,TRUE,NA,"1290981075477397507",NA,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>","iina_surbakti",0,FALSE,FALSE,NA,NA
"172","@marpaung913 @kasehsaulmouk @ebongBOY @HerlinaWoods @RFauzy5 @EmyPalayukan @istidharto @ag865ok @hendry_martien… https://t.co/VMFlqGvWDY",FALSE,1,"marpaung913",2020-08-05 11:44:04,TRUE,"1290855879865020416","1290976865394409472","3192271640","<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>","noperhan",0,FALSE,FALSE,NA,NA
"173","Ini sk penggabungan Stie Indonesia Raya menjadi Universitas https://t.co/liGlpXASCC",FALSE,2,NA,2020-08-05 10:55:47,FALSE,NA,"1290964715867238401",NA,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>","FlorentiusFlor1",0,FALSE,FALSE,NA,NA
"174","Perkembangan Situasi terkait Sebaran Pandemi COVID-19 di Slowakia per tanggal 5/8/2020
.
Silakan menghubungi hotlin… https://t.co/TWWokCj2K2",FALSE,1,NA,2020-08-05 09:34:03,TRUE,NA,"1290944145381634049",NA,"<a href=""http://www.echofon.com/"" rel=""nofollow"">Echofon</a>","indonesia_sk",0,FALSE,FALSE,NA,NA
"175","RT @Kemlu_RI: <U+0001F1EE><U+0001F1E9> sampaikan duka cita &amp; simpati kpd keluarga, Pemerintah &amp; rakyat <U+0001F1F1><U+0001F1E7> atas ledakan yg terjadi pd Selasa (4/8). #MenluRetno tr…",FALSE,0,NA,2020-08-05 09:08:47,FALSE,NA,"1290937788880363525",NA,"<a href=""http://www.echofon.com/"" rel=""nofollow"">Echofon</a>","indonesia_sk",53,TRUE,FALSE,NA,NA
"176","Melalui SK – 263/MBU/08/2020 tertanggal 4 Agustus 2020, Kementerian Badan Usaha Milik Negara (BUMN) melakukan perub… https://t.co/tMQZ273pKx",FALSE,0,NA,2020-08-05 09:01:58,TRUE,NA,"1290936070222249984",NA,"<a href=""http://instagram.com"" rel=""nofollow"">Instagram</a>","bumntrack",0,FALSE,FALSE,NA,NA
"177","RT @mayang56365678: Jawa Barat Propinsi pertama di Indonesia yang memperhatikan nasib para guru honorer, dengan menerbitkan SK Gubernur, te…",FALSE,0,NA,2020-08-05 08:05:24,FALSE,NA,"1290921837325504513",NA,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>","NingsPplhi",5,TRUE,FALSE,NA,NA
"178","SAH…!!!<U+2800>
<U+2800>
Alhamdulillah, per tanggal 29 Juli 2020 MES telah berdiri di Australia dan Aljazair masing-masing telah… https://t.co/Qoo3rTrIPo",FALSE,6,NA,2020-08-05 08:00:15,TRUE,NA,"1290920538731233281",NA,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>","mes_indonesia",1,FALSE,FALSE,NA,NA
